Timestamp;Model_Name;Input_Dim;Kernel_Type;Noise_Prior_Range;Mean_MSE_LOOCV;ARD;Number_trainingpoints;Prior_type;Lengthscale_Prior;Noise_value;Notes;Spalte1;Spalte2;Spalte3;;
09.05.25 12:30;GP_Matern_0.5;4;Matern;(0.003, 0.5);0.003891;False;20;Gamma;(2.0, 0.15);0.09064218623395107;Automated grid search;;0,003891;;;
09.05.25 11:42;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.006581;True;20;;;0.09191123233916447;Automated grid search;;0,006581;;;
09.05.25 11:42;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.006581;True;20;Gamma;(2.0, 0.5);0.09191123233916447;Automated grid search;;0,006581;;;
09.05.25 12:27;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.006581;True;20;;;0.09191123233916447;Automated grid search;;0,006581;;;
09.05.25 12:27;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.006581;True;20;Gamma;(1.1, 0.05);0.09191123233916447;Automated grid search;;0,006581;;;
09.05.25 12:30;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.006581;True;20;;;0.09191123233916447;Automated grid search;;0,006581;;;
09.05.25 12:30;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.006581;True;20;Gamma;(2.0, 0.15);0.09191123233916447;Automated grid search;;0,006581;;;
09.05.25 12:30;GP_Matern_0.5;4;Matern;(0.003, 0.5);0.006582;True;20;;;0.09197170760584591;Automated grid search;;0,006582;;;
09.05.25 12:30;GP_Matern_0.5;4;Matern;(0.003, 0.5);0.006582;True;20;Gamma;(2.0, 0.15);0.09197170760584591;Automated grid search;;0,006582;;;
09.05.25 11:42;GP_Matern_2.5;4;RBF;(0.0001, 0.2);0.003388;False;20;Gamma;(2.0, 0.5);0.09250000576522713;Test with new kernel config;;0,003388;;;
09.05.25 12:30;GP_Matern_2.5;4;Matern;(0.003, 0.5);0.006639;True;20;;;0.10413283607619059;Automated grid search;;0,006639;;;
09.05.25 12:30;GP_Matern_2.5;4;Matern;(0.003, 0.5);0.006639;True;20;Gamma;(2.0, 0.15);0.10413283607619059;Automated grid search;;0,006639;;;
